date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:58	153/153	---M--	200	added ('OK')	text/plain	date:Thu,%2024%20Sep%202015%2010:33:09%20GMT	https://www.recruitmentmyanmarsak.com/robots.txt		(from )
11:38:58	50502/50502	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2005:08:51%20GMT	https://www.recruitmentmyanmarsak.com/	/Users/zinmintun/websites/recruitmentmyanmarsak/www.recruitmentmyanmarsak.com/index.html	(from )
11:38:59	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2004%20Apr%202022%2005:08:52%20GMT	https://www.recruitmentmyanmarsak.com/xmlrpc.php	/Users/zinmintun/websites/recruitmentmyanmarsak/www.recruitmentmyanmarsak.com/xmlrpc.php	(from https://www.recruitmentmyanmarsak.com/)
11:38:59	83369/83369	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2002:41:05%20GMT	https://www.recruitmentmyanmarsak.com/wp-includes/css/dist/block-library/style.min.css?ver=5.9.2	/Users/zinmintun/websites/recruitmentmyanmarsak/www.recruitmentmyanmarsak.com/wp-includes/css/dist/block-library/style.min6dcf.css	(from https://www.recruitmentmyanmarsak.com/)
11:39:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2005:09:00%20GMT	http://s.w.org/	/Users/zinmintun/websites/recruitmentmyanmarsak/s.w.org/index.html	(from https://www.recruitmentmyanmarsak.com/)
11:39:00	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Apr%202022%2005:09:00%20GMT	http://fonts.googleapis.com/	/Users/zinmintun/websites/recruitmentmyanmarsak/fonts.googleapis.com/index.html	(from https://www.recruitmentmyanmarsak.com/)
11:39:01	2475/2475	---MC-	200	added ('OK')	text/css	date:Mon,%2004%20Apr%202022%2005:09:01%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:300italic,400italic,600italic,700italic,800italic,400,300,600,700,800&subset=latin,latin-ext	/Users/zinmintun/websites/recruitmentmyanmarsak/fonts.googleapis.com/css029a.css	(from https://www.recruitmentmyanmarsak.com/)
11:39:01	1111/1111	---M--	200	added ('OK')	application/rss+xml	etag:%22e2a72b65371dcb0bbef5b29cf3b018ac%22	https://www.recruitmentmyanmarsak.com/feed/	/Users/zinmintun/websites/recruitmentmyanmarsak/www.recruitmentmyanmarsak.com/feed/index.html	(from https://www.recruitmentmyanmarsak.com/)
11:39:03	7144/7144	---MC-	200	added ('OK')	text/css	date:Mon,%2004%20Apr%202022%2005:09:03%20GMT	https://fonts.googleapis.com/css?family=Montserrat%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2Cregular%2Citalic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CPoppins%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2Cregular%2Citalic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&ver=5.9.2	/Users/zinmintun/websites/recruitmentmyanmarsak/fonts.googleapis.com/css0c53.css	(from https://www.recruitmentmyanmarsak.com/)
11:39:03	712533/712533	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202019%2003:57:11%20GMT	https://www.recruitmentmyanmarsak.com/wp-content/themes/Divi/style.css?ver=3.24.1	/Users/zinmintun/websites/recruitmentmyanmarsak/www.recruitmentmyanmarsak.com/wp-content/themes/Divi/stylea120.css	(from https://www.recruitmentmyanmarsak.com/)
